Data z Veřejné databáze ČSU,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Průměrné spotřebitelské ceny vybraných druhů zboží [1],,,,,,,,,,,,
,Měřicí jednotka: Kč,,,,,,,,,,,Území: ,Česká republika
,,,,,,,,,,,,,
,Název,2024,,,,,,,,,,,
,,Měsíc,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12
,Rýže loupaná dlouhozrnná [1 kg],42.8,42.44,42.22,45.66,46.34,46.5,44.89,46.66,46.69,46.45,47.03,.
,Pšeničná mouka hladká [1 kg],16.04,16.27,15.11,17.14,17.23,15.89,16.13,16.04,15.52,14.88,14.7,.
,Chléb konzumní kmínový [1 kg],42.87,43.06,43.06,42.83,42.99,43.1,43.15,42.95,42.91,42.82,42.45,.
,Pečivo pšeničné bílé [1 kg],64.11,63.74,63.8,62.86,63.63,64.54,64.6,64.67,64.94,64.76,64.78,.
,Máslový koláč z kynutého těsta [1 kg],165.3,162.7,162.4,163.53,163.62,165.48,166.07,159.38,160.12,159.58,162.79,.
,Sušenky slepované nemáčené [1 kg],219.8,233.44,232.81,227.57,229.3,238.6,234.82,233.29,244.22,233.28,246.44,.
,Piškoty dětské světlé [100 g],12.07,12.51,12.37,12.15,11.98,12.45,12.08,12.33,12.24,12.36,11.29,.
,Těstoviny vaječné [1 kg],64.01,65.64,62.1,64.23,67.04,65.36,69.29,66.19,64.24,61.18,62.77,.
,Hovězí maso zadní bez kosti [1 kg],262.74,261.58,261.67,250.25,265.6,266.33,264.82,271.09,275.3,276.73,274.55,.
,Hovězí maso přední bez kosti [1 kg],199.37,201.57,201.59,200.64,206.93,209.43,207.47,206.83,212.95,211.76,213.35,.
,Hovězí maso přední s kostí [1 kg],165.16,163.68,159.34,164.82,165.89,164.88,160.54,163.78,167.27,166.55,171.49,.
,Vepřová kýta bez kosti [1 kg],140.1,135.4,132.31,124.37,133.5,130.22,130.86,133.99,133.42,132.53,126.73,.
,Vepřová krkovice [1 kg],143.79,141.26,124.18,169.67,147.83,146.54,156.01,149.16,158.04,146.61,146.16,.
,Vepřová plec [1 kg],90.08,101.89,87.92,93.24,100.79,98.03,100.48,98.42,99.74,96.77,97.66,.
,Vepřový bůček [1 kg],123.94,120.11,124.04,128.23,128.14,115.64,125.43,123.81,130.56,128.14,127.22,.
,Vepřová pečeně [1 kg],146.36,143.87,148.33,150.71,151.82,156.01,144.47,150.28,147.65,149.22,161.44,.
,Kuřata kuchaná celá [1 kg],67.58,64.9,68.03,64.97,63.17,61.16,62.57,65.59,69.28,65.24,64.59,.
,Kuřecí prsní řízky [1 kg],140.46,130.27,130.58,138.98,133,144.64,160.6,133.81,149.79,140.79,142.7,.
,Kuřecí stehna [1 kg],92.7,93.74,91.13,92.03,94.26,89.53,90.62,92.51,91.62,93.15,92.22,.
,Kachny kuchané [1 kg],121.25,126.56,119.28,105.2,102.22,98.28,107.28,98.19,107.33,116.97,98.71,.
,Krůtí prsní řízky [1 kg],188.94,181.01,171.12,181.24,175.61,189.3,185.18,191.61,178.78,182.64,216.37,.
,Králík domácí [1 kg],167.16,165.96,185.44,169.4,183.21,174.39,167.68,179.95,179.25,175.81,173.78,.
,Párky [1 kg],179.79,184.53,186.38,182.16,187.28,185.49,183.72,186.16,178.26,184.3,180.97,.
,Šunkový salám [1 kg],158.33,165.33,164.88,161.24,165.96,162.07,170.66,171.44,178.44,163.13,168.87,.
,Papriková klobása [1 kg],236.23,236.2,239.07,242.55,242.17,239.18,236.04,244.13,240.59,239.18,240.82,.
,Poličan [1 kg],288.01,284.4,282.09,284.83,296.69,299.18,290.57,300.85,300.95,294.16,292.56,.
,Šunka vepřová [1 kg],253.86,252.44,252.19,258.12,254.16,255,252.11,256.45,256.89,255.66,256.49,.
,Losos filet [1 kg],387.24,397.33,411.84,404.76,467.03,448.72,457.5,511.62,498.51,514.29,459.4,.
,Kapr chlazený [1 kg],214.31,215.51,217.2,184.04,216.54,230.92,233.9,236.34,195.84,235.37,204.35,.
,Filé mražené [1 kg],218.83,228.95,216.43,231.14,245.59,224.57,227.35,233.28,226.83,241.34,212.26,.
,Pstruh [1 kg],207.85,235.94,200.5,213.62,198.55,212.86,215.43,211.38,195.59,157.38,199.98,.
,Mléko plnotučné trvanlivé [1 l],19.38,19.99,19.89,19.46,20.11,19.22,19.83,20.05,20.58,21.05,21.14,.
,Mléko polotučné pasterované [1 l],21.41,21.45,21.67,21.42,21.64,21.53,22.48,22.7,23.07,22.94,23.88,.
,Mléko polotučné trvanlivé [1 l],15.12,14.53,14.54,15.53,15.16,14.51,14.2,15.26,17.31,15.16,15.41,.
,Kondenzované mléko neslazené [500 g],54.31,53.58,48.08,56.04,55.55,56.78,56.41,56.25,57.52,52.27,50.99,.
,Jogurt bílý netučný [150 g],9.78,10.31,9.88,10.42,10.45,10.51,10.37,10.68,10.37,10.44,10.57,.
,Smetanový jogurt ovocný [150 g],11.21,11.62,11.27,11.27,11.86,11.66,11.18,11.39,11.29,11.74,11.81,.
,Eidamská cihla [1 kg],182.78,188.93,178.09,186.68,183.63,189.39,186.7,187.77,185.58,193.72,195.08,.
,Hermelín [1 kg],345.92,339.99,344.46,352.93,346.22,316.73,331.78,338.42,271.18,274.72,308.11,.
,Tavený sýr neochucený [1 kg],202.69,212.06,209.91,204.64,205.03,204.26,206.14,206.49,206.78,209.88,215.33,.
,Lučina [1 kg],268.72,266.31,247.47,273.89,264.07,262.39,266.2,274.22,261.15,264.69,271.24,.
,Niva [1 kg],247.38,267.84,247.34,250.05,254.79,257.91,256.23,261.66,264.58,271.48,270.53,.
,Gouda [1 kg],200.5,190.29,183.54,180.7,185.02,185.9,176.03,187.62,192.66,191.47,198.54,.
,Tvaroh měkký konzumní [1 kg],81.05,86.92,86.87,88.15,86.98,90.09,88.57,85.89,87.14,89.76,91.63,.
,Smetana sladká trvanlivá [1 l],123.18,122.41,114.49,118.98,116.67,122.05,119.03,126.47,128.31,138.61,140.3,.
,Tradiční pomazánkové [1 kg],160.33,158.59,158.51,159.86,161.04,159.77,156.12,159.96,158.89,163.38,165.44,.
,Zakysané mléčné výrobky [1 kg],56.07,57.1,55.44,56.79,57.97,56.52,58.25,58.14,58.55,59.29,59.3,.
,Vejce slepičí čerstvá [10 ks],40.27,37.83,36.08,35.78,34.72,33.72,35.72,32.37,34.84,36.86,47.56,.
,Máslo [1 kg],175.34,164.54,165.87,162.29,170.5,178.62,185.51,195.77,225.93,235.38,242.25,.
,Rostlinný roztíratelný tuk [1 kg],132.94,143.61,140.72,119.91,120.12,129.35,122.69,123.77,123.24,121.85,115.69,.
,Olej rostlinný [1 l],49.57,47.44,49.81,49.72,46.81,46.85,49.47,48.28,45.61,47.72,45.76,.
,Vepřové sádlo škvařené [1 kg],89.47,86.54,95.45,98.24,99.1,93.44,96.89,92.7,93.71,100.19,92.14,.
,Pomeranče [1 kg],34.8,37.48,33.05,34.21,35.97,39.89,43.26,41.78,41.55,44.12,38.41,.
,Citrony [1 kg],42.06,49.9,46.51,50.08,50.73,51.81,51.24,61,77.61,65.09,48.44,.
,Banány žluté [1 kg],34.38,32.49,31.71,31.74,30,31.34,29.11,30.68,26.31,29.69,29.68,.
,Jablka konzumní [1 kg],33.42,32.58,35.98,32.3,32.81,36.61,36.93,36.96,33.14,35,34.93,.
,Hrozny stolní [1 kg],113.14,116.01,101.09,92.8,95.53,98.78,92.84,78.95,76.98,98.56,147.79,.
,Rajská jablka červená kulatá [1 kg],87.14,69.93,67.1,77.16,70.38,69.16,55.63,60.07,71.21,77.22,79.16,.
,Okurky salátové [1 kg],58.19,51.24,52.38,43.76,49.93,52.61,44.58,46.61,74.8,48.95,45.97,.
,Papriky [1 kg],78.78,85.91,84.55,96.84,93.64,78.76,74.99,68.8,67.98,75.02,85.52,.
,Zelí hlávkové bílé [1 kg],26.03,24.28,25.73,29.9,28.38,30.77,33.51,27.37,25.3,23.83,23.18,.
,Květák bílý celý [1 kus],68.15,45.47,36.67,55.73,71.11,48.1,49.97,45.58,45.03,40.88,38.39,.
,Mrkev [1 kg],25.99,29.12,32.97,34.21,35.56,34.56,29.14,23.59,21.12,21.65,21.72,.
,Celer [1 kg],32.56,27.31,27.5,30.44,32.9,45.22,57.53,51.89,45.58,40.42,43.84,.
,Cibule suchá [1 kg],28.95,27.67,26.78,28.82,26.61,29.89,25.16,24.49,23.2,21.99,19.74,.
,Česnek suchý [1 kg],172,179.02,167.15,177.42,180.01,182.36,183.73,181.88,175.95,164.19,176.57,.
,Brokolice [1 ks],33.13,30.13,27,26.51,27.62,31.74,42.92,43.69,36.03,34.93,30.17,.
,Salát ledový [1 ks],25.44,25.86,27.18,27.6,33.1,30.82,26.07,31.79,24.86,28.93,34.75,.
,Nakládané zelí [1 kg],49.2,49.68,50.84,50.71,50.99,50.62,52.21,52.48,52.75,52.81,50.16,.
,Konzumní brambory [1 kg],22,24.51,24.69,25.12,26.6,28.88,22.6,17.96,17.04,16.85,16.59,.
,Cukr krystalový [1 kg],22.91,22.75,22.32,22.69,22.64,20.41,20.68,21.1,20.42,17.91,15.52,.
,Cukr moučkový [1 kg],30.17,28.64,27.18,29.47,27.83,29.73,29.98,28.26,28.13,22.26,21.45,.
,Pravý včelí med [1 kg],174.53,168.03,174.6,180.7,178.67,177.87,183.03,180.95,174.39,178.28,162.4,.
,Čokoláda mléčná tabulková [100 g],25.16,25.61,25.04,26.98,28.48,29.27,30.57,33.76,30.24,31.47,33.61,.
,Dětská výživa [220 g],37.65,37.44,38.82,37.51,39.65,38.21,37.1,37.8,37.61,37.97,36.64,.
,Sušené mléko pro kojeneckou výživu [500 g],226.11,222.85,224.46,220.8,221.53,222.11,217.68,219.94,217.63,214.29,214.32,.
,Káva rozpustná [100 g],65.77,62.16,62.61,62.86,64.9,61.21,63.71,67.98,67.96,65.69,67.08,.
,Káva zrnková pražená [100 g],44.18,40.38,40.05,42.32,42.76,42.92,43.31,44.2,46.03,44.68,44.39,.
,Čaj černý porcovaný [100 g],62.52,62.38,63.39,66.99,65.69,64.83,65.25,64.66,63.92,63.44,61.47,.
,Kakaový prášek [100 g],31.39,29.86,26.78,32.49,32.72,32.93,31.39,34.31,36.45,36.8,35.04,.
,Přírodní minerální voda uhličitá [1 l],10.55,10.54,10.49,10.75,10.75,10.49,10.46,10.42,10.43,10.39,10.53,.
,Nealkoholický nápoj s ovocnou příchutí [1 l],24.23,24.47,23.64,23.59,23.86,23.9,24.03,24.17,23.69,23.64,23.7,.
,Tuzemský tmavý (Tuzemák) [1 l],285.58,278.81,263.77,281.39,281.92,278.84,270.73,284.41,278.66,275.72,262.79,.
,Vodka jemná [1 l],282.06,283.27,286.93,295.28,291.3,281.57,276.72,285.45,288.54,272.32,281.67,.
,"Jakostní víno červené - od 2015 [0,75 l]",84.71,85.17,81.33,85.54,85.84,83.93,84.33,85.4,83.08,81.28,81.77,.
,"Pivo výčepní, světlé, lahvové [0,5 l]",12.78,13.07,13.06,13.06,13.31,12.86,13.37,12.96,12.74,13.03,12.95,.
,Kód: CEN02A42/7,,,,,,,,,,,,
,"[1] Ceny jsou počítány z tzv. „scanner dat“  (data z pokladen maloobchodních řetězců). Tyto hodnoty <b>jsou základem výpočtu měsíčních cenových indexů spotřebitelských cen.</b>, Cenový index spočtený jako podíl z průměrných cen uvedených v této tabulce nemusí odpovídat oficiálně publikovaným indexům (viz <a href=""https://www.czso.cz/csu/czso/kdyz_se_rekne_inflace_resp_mira_inflace"" target=""nove_okno"">metodická příručka indexu spotřebitelských cen</a>).",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Zdroj:,"Český statistický úřad, Veřejná databáze",,,,,Podmínky užívání dat ČSÚ,,,,,,vygenerováno  11.12.2024 18:45,
